epoch,loss,test_mse,elapsed_s,eta_s
0,773929472.0,1.235784,10,20484
25,407713760.0,1.076934,146,11103
50,206056448.0,0.449830,283,10822
75,59252000.0,0.120155,422,10690
100,24623778.0,0.047829,560,10538
125,17317412.0,0.040673,700,10416
150,13998593.0,0.032166,841,10296
175,11690990.0,0.031597,982,10176
200,10175702.0,0.025394,1122,10045
225,8821204.0,0.025687,1263,9916
250,7806920.0,0.020720,1405,9792
275,6918335.0,0.021496,1547,9663
300,6113695.0,0.017224,1689,9536
325,5420326.5,0.018051,1832,9406
350,4721562.0,0.014348,1974,9273
375,4183643.8,0.015565,2116,9137
400,3652455.5,0.012192,2257,9000
425,3328903.8,0.013397,2400,8868
450,2741351.0,0.010638,2543,8736
