epoch,loss,test_mse,elapsed_s,eta_s
0,919666944.0,1.235809,10,19784
25,479592704.0,1.072509,141,10697
50,236467408.0,0.440146,273,10426
75,68458808.0,0.113363,407,10314
100,61057740.0,0.088757,542,10182
125,43719948.0,0.051744,676,10056
150,44565312.0,0.076328,811,9930
175,35304140.0,0.045625,946,9807
200,38727836.0,0.068587,1083,9693
225,31432512.0,0.041677,1219,9569
250,34595740.0,0.062398,1355,9443
275,28947254.0,0.038849,1492,9318
300,31393486.0,0.057258,1630,9198
325,26936992.0,0.036331,1768,9077
